Topic	Question	Answer
Telegram Personal (телеграм)	Работает ли в Сейлсботе?	Сэйлсбот работает (написать первым через сэйлсбот нельзя)
Telegram Personal (телеграм)	Можно ли писать по номеру тем, кто скрыл номер в тг?	Нет
Telegram Personal (телеграм)	Что такое TelegramId и для чего оно нужно? Заполняется автоматически это поле в Амо?	Это id каждого юзера, который дается ему при регистрации в Telegram
Telegram Personal (телеграм)	Нужно ли телефон включеным как для ва держать?	Нет
Telegram Personal (телеграм)	Можно ли 8800 подключить к телеге?	Нет, только мобильные номера. Стационарные нельзя
Telegram Personal (телеграм)	Не отправляются сообщения	Если у клиента не отправляются сообщения (часики, красный воскл.знак), отправляйте проверять аккаунт в @SpamBot на какие-либо ограничения аккаунта. Это оф.бот телеги Если бот сообщил, что "Ваш аккаунт свободен от каких-либо ограничений.", но сообщения все равно не отправляются - можн на л3 идти
Telegram Personal (телеграм)	Передаются ли групповые чаты	Групповые чаты с телеграм подтягиваются к нам, работают также, как и групповые whatsapp
Telegram Personal (телеграм)	Не появилось поле TelegramWZ в амо/битрикс	Поля создадутся автоматически, как только придет первое входящее на канал телеги
Telegram Personal (телеграм)	Как написать первым в телеграм	Амо: написать первым в телеграм можно только из нашего виджета в сделке Как написать по номеру телефона: https://www.loom.com/share/a3f843ff9d4f4c7a87d4137f4c0efc09 Как написать по имени аккаунта: нужно заполнить поле TelegramUsername_WZ именем аккаунта через @, пример https://monosnap.com/file/LOaL4ENHljHYQUJuQOLys3XSldQpoB А далее, как и при написании по номеру, открыть наш виджет, нажать на стрелочку - > Создать диалог.  Битрикс: Как написать первым по имени аккаунта: https://skr.sh/vHwd1AZJ7Yp?a Как написать первым по номеру телефона: заполняем поле Телефон, далее открываем наш виджет в карточке: https://skr.sh/sHwDLJP4ao3?a
VK (Vkontakte, ВК, Вконтакте)	Если контакт напишет в вк, создаться новая сделака или прикрепится в существующую	Если у существующего контакта не заполнено ID этого контакта в поле ВК, то это уже другой новый контакт будет, т.к. нет данных по которым мы можем определить, что это тот же контакт. В ВК не прокидываются номера телефонов.
VK (Vkontakte, ВК, Вконтакте)	Что нужно для добавления канала вк?	Для добавления канала у пользователя должно быть: - личный профиль VK; - хотя бы одно сообщество VK, которым управляет этот профиль (уровень полномочий - администратор)
VK (Vkontakte, ВК, Вконтакте)	Можно ли написать первым?	Нет, такой возможности нет
VK (Vkontakte, ВК, Вконтакте)	Статус Не авторизован	Если канал VK пробыл в статусе “Не авторизован” ~ 24 часа и более, то после авторизации загрузятся только сообщения сообщества, но не комментарии, полученные/отвеченные за время пребывания в этом статусе. Пример: Канал Вк был в статусе “Не авторизован” 2 дня, после вы его авторизовали. Комментарии за эти 2 дня не подгрузятся. Подгрузятся только сообщения сообщества (сообщество Вк - клиент) за эти 2 дня.
VK (Vkontakte, ВК, Вконтакте)	Как отображаются комментарии	https://prnt.sc/CMU3wB2moabg У сообщения есть пометка Комментарий, а также прикладывается ссылка на пост
VK (Vkontakte, ВК, Вконтакте)	Как ответить комментарием на комментарий, а как в личные сообщения	Сообщения в личные сообщения и комментарии к постам от одного клиента попадают в один чат.  ✉️ → ✉️ Чтобы ответить на входящие сообщение в личные сообщения, введите сообщение в строку ввода текста и отправьте его.  💬 → ✉️ Чтобы ответить на комментарий к посту сообщением в личные сообщения, введите сообщение в строку ввода текста и отправьте его. 💬 → 💬 Чтобы ответить комментарием на комментарий, нажмите на стрелочку справа от входящего сообщения и ответьте с цитированием.  Ответить комментарием на комментарий можно только из чатов Wazzup: виджет Wazzup в CRM, чаты в личном кабинете Wazzup, Wazzup Web, мобильное приложение Wazzup.   Ответить через личные сообщения сообщества на комментарий можно только на последний комментарий в диалоге Wazzup. Если есть другие комментарии ранее, то на них в личных сообщениях уже ответить нельзя
VK (Vkontakte, ВК, Вконтакте)	Измененное входящее сообщение	У входящего сообщения может быть статус “Изменено”, если после отправки сообщения клиент изменил его в Вк. Будет отображаться измененными, если первоначально это было текстовое сообщение и отредактировали только текст (не добавляли вложения). В иных случаях (список ниже), даже если есть изменения в сообщении со стороны контакта в Вк, в Wazzup не отобразится изменение самого сообщения (даже текст не изменится) и не отобразится статус “Изменено”. Список кейсов, когда не отобразится изменение - когда хоть как-то участвует вложение: - если во входящем с вложением добавили/убрали вложение. - если во входящем с текстом добавили вложение (не важно, что при этом делают с текстом). - если во входящем с текстом и вложением добавили/убрали вложение. - если во входящем с текстом и вложением изменили текст.
VK (Vkontakte, ВК, Вконтакте)	Канал не отображается в настройках с какого канала писать первым	Канал VK не будет отображаться в этой настройке, поскольку первым писать с канала VK нельзя
VK (Vkontakte, ВК, Вконтакте)	Можно ли добавить канал в ОЛ?	Нет, канал в VK в открытую линии нельзя добавить
VK (Vkontakte, ВК, Вконтакте)	Отличия от штатной битрикс	в штатной интеграции Битрикс: -Общение ведется только через Сообщение групп, публичных страниц, мероприятий, но не на Стене этих групп, страниц и мероприятий! -работа ведется в чате ОЛ  в  интеграции Wazzup : -подтягиваются комментарии под постами сообщества, сообщения сообщества; - если пришел комментарий, то у нас он отображается в виде сообщения, у которого есть пометка Комментарий, а также прикладывается ссылка на пост -ответить клиенту можно как в личные сообщения, так и комментарием под комментарием -канал вконтакте нельзя добавить в ОЛ -при входящем сообщении от нового клиента создается сделка и контакт + удобное окно чатов Wazzup для общения с клиентами
WABA (ВАБА)	Ссылка на тарификацию	https://wazzup24.com/help/ru/how-to-configurate/whatsapp-business-api-charging/
WABA (ВАБА)	Как добавить или изменить аватарку для профиля. описание, статус, адрес, почту	Если канал активен, в ЛК ваззап у канала ваба клиент самостоятельно может поменять: 1. Аватарку 2. Статус 3. Отрасль 4. Описание компании 5. Адрес компании 6. Электронная почта 7. Адрес сайта или ссылка на страницу в соцсети  Для изменения необходимо перейти в ЛК Ваззап - Каналы- у нужного канала ваба нажать кнопку с шестеренкой справа - перейти на вкладку Профиль WhatsApp
WABA (ВАБА)	Как подключить на телефоне?	Никак. Аккаунт не получится добавить в приложение WhatsApp или WhatsApp Business. Но у нас есть свое мобильное приложние, с которого можно переписываться с клиентами) https://wazzup24.ru/help/how-to-configurate/pc-app/
WABA (ВАБА)	Сколько шаблонов можно отправить сразу на модерацию?	Ограничений нет
WABA (ВАБА)	Есть ли скидка на подписку для партнеров?	Если у партнера менее 10 оплат, то партнер может оплатить свою подписку со своего партнерского а со скидкой 35%. Партнерская скидка 35% дается на оплату подписки и 10% на пополнение баланса для сессий (по реферальной программе 10% получать партнер не будет). Если у партнера 10+ продаж, то мы можем ему сделать бесплатный канал WABA. Они будут платить только за сессии. Тех.партнерам без условий даем бесплатную подписку на Ваба, по запросу от них. Партнер обращается в поддержку, мы создаем ему бесплатную подписку через админку. https://www.notion.so/92a7b8e316924c28ab69ca27d3c75b6d?pvs=4#4c922c3df3ec42938465fb7b40ca3d30 Проверить количество платящих клиентов и партнерскую скидку можешь через админку или лк клиента. Как проверить в админке https://www.notion.so/92a7b8e316924c28ab69ca27d3c75b6d?pvs=4#c6d961b842f34a8d84fcc8b40e8c0808
WABA (ВАБА)	Какие кнопки можно сделать	Шаблоны с кнопкой или интерактивные шаблоны бывают двух типов: - Быстрый ответ. При нажатии клиент ответит вам на шаблонное сообщение и отправит текст, вшитый в кнопку. В шаблоне с быстрым ответом может быть максимум три кнопки. - Набор телефонного номера. При нажатии у клиента откроется окно набора номера и в него подставится вшитый в кнопку номер. Ему останется только нажать кнопку «Позвонить». В таком сообщении может быть только одна кнопка.  Можно также вставить кнопку со ссылкой вместе/вместо кнопки "позвонить". При этом ссылка может быть динамическая. Как сделать динамическую ссылку описано в этой статье https://wazzup24.ru/help/how-to-configurate/how-to-add-a-waba-template/ в выпадающем меню "Как добавить переменную в ссылку"
WABA (ВАБА)	В какую срм можно добавить канал?	В амо и битрикс канал ваба можно использовать, на других срм лучше уточнить у Игоря на л2 через подзадачу В битриксе шаблонные сообщения возможно отправлять только бизнес-процессом,  а общаться в рамках 24-часового окна можно любым способом, через ОЛ или через нас В амо шаблонные сообщения возможно отправлять только из нашего доп. окна или salesbot, а общаться в рамках 24-часового окна можно и из нативных чатов  Сообщения будут отображаться в карточках, как и при обычной интеграции WhatsApp Web
WABA (ВАБА)	Как отправить шаблон с файлом?	Можно отправить шаблон из любого места, отправив код шаблона вида @template В этом случае вместо переменной "headerContentUrl" нужно вставить прямую ссылку на файл (не на страницу где лежит файл)
WABA (ВАБА)	Какие есть ограничения у шаблонов?	Шаблон имеет ограничение по количеству символов и разделяется на 3 составляющие:  Header (заголовок) — содержит либо текст(он будет жирным и побольше немного) на 60 символов(можно добавить 1 переменную). Либо файл, можно добавить только 1. Body (основной текст) — 1024 символа Footer (подпись) — 60 символов https://monosnap.com/file/zJTub3fOKVZ9bgJFdZCCEpsRJvTCNk В шаблон можно добавить 3 кнопки, ограничение на 1 кнопку - 20 символов, эмодзи в них добавлять нельзя.
WABA (ВАБА)	Где взять код шаблона для salesbot	Как найти код:  1. Перейдите в «Шаблоны сообщений» → вкладка «Шаблоны WhatsApp API». 2. Нажмите на «карандаш» в строке с нужным шаблоном → откроется редактор шаблона. Справа будет код.
WABA (ВАБА)	Можно ли подключить виртуальный номер	Можно. Если там есть голосовое меню, то надо будет на время прохождения OTP(получения кода для подтверждения номера) отключить голосовой помощник, если он подключен.
WABA (ВАБА)	Клиент хочет мигрировать от другого сервиса к нам	Если у клиента сейчас уже подключен номер как WABA в другом сервисе и он хочет перенести этот номер к нам, то это называется миграция и нужно проделать определенную процедуру. Если у клиента компания не верифицирована и он хочет к нам, можно не собирать данные на миграцию: он может удалить номер из фейсбука и через какое-то время (от нескольких минут, до нескольких часов), сможет добавить номер к нам. Если компания не верифицирована - миграция недоступна.  Если клиент хочет мигрировать к нам, то нужно узнать его текущего провайдера (через какой сервис сейчас подключен номер WABA). Если это TextBack, Radist, значит провайдер 360dialog. Многие клиенты сами знают, что у них 360dialog и так и говорят. Перед тем как отправить инструкцию для миграции клиенту - уточни, верифицирована ли компания у клиента? Если компания не верифицирована - клиенту не нужна миграция (можно просто грохнуть телефон в самом фейсбуке из старой вабы и через 3-8 часов можно будет его подключить к нам без миграции, по нашей инструкции), миграция в случае не верифицированной компании просто не сработает.  Инструкция по миграции есть на хэлпе: https://wazzup24.ru/help/how-to-configurate/kak-perenesti-nomer-waba-v-wazzup-iz-drugogo-servisa/ Когда все данные клиент прислал или если у него возникли проблемы — ставить задачу на л2 НА МАКСИМА КАРЕВА  Инструкция по миграции от 360 dialog для иностранцев: https://wazzup24.com/help/how-to-migrate-a-waba-number-to-wazzup-from-another-service/ Когда все данные клиент прислал или у него возникли проблемы - ставь задачу на л2. НА МАКСИМА КАРЕВА  Также — задачу на л2 Максу, когда клиент прислал все данные или если появились проблемы в выполнении инструкции
WABA (ВАБА)	Что будет с подпиской если перейти с ВА веб на ВА апи	Можно удалить подписку для ВА Веб, и деньги использовать для оплаты ВА Апи
WABA (ВАБА)	Что нужно для перехода на waba и что будет с номером телефона	Если на номере телефона есть аккаунт в обычном whatsapp или whatsapp business, его нужно будет удалить, либо изменить номер: Android https://faq.whatsapp.com/android/account-and-profile/how-to-change-your-phone-number/?lang=ru iPhone https://faq.whatsapp.com/iphone/account-and-profile/how-to-change-your-phone-number  Удаление аккаунта повлечет за собой: — удаление истории сообщений; — удаление вас из всех ваших групп WhatsApp; — удаление резервной копии с Google Диска.  При изменении номера телефона WhatsApp: — все данные вашего аккаунта, включая фото профиля, имя, индивидуальные и групповые чаты, сведения и настройки будут перенесены со старого номера телефона на новый номер; — аккаунт WhatsApp, связанный с вашим прежним номером телефона, будет удалён. Ваш прежний номер больше не будет отображаться в контактных списках WhatsApp ваших контактов.
WABA (ВАБА)	Кто такие сингапурцы? Наш провайдер	Наш провайдер компания KeyReply
WABA (ВАБА)	Статус канала "не авторизован"	Если у канала статус Не авторизован сразу ставь подзадачу на Макса с приоритетом
WABA (ВАБА)	Как получить галку	Галочку WhatsApp одобряет популярным брендам, крупным компаниям. Можно попробовать отправить запрос на галочку, это платно, могут дать отрицательный ответ - деньги не возвращаются. От вас нужно для запроса: 1. Название компании 2. Номер телефона к которому хотим сделать галочку 3. Отображаемое имя в профиле (если хотите сделать другое, отличаемое от текущего) 4. URL веб-сайта компании 5. URL страницы компании на FB (страница должна быть активная с свежими постами. Это повысит шанс одобрения)  Запрос стоит 5000 рублей.  Если согласен оплатить, то запрашивай реквизиты компании, на которую выставить  и ставь подзадачу на Макса
WABA (ВАБА)	Не подтверждают компанию	Если у клиента не подтверждают компанию, уточните у него причину отказа, он может проверить здесь: https://business.facebook.com/settings/security Проблемы с верификацией компании (если всё делали по гайду, но что-то не получилось https://docs.google.com/spreadsheets/d/1GusTWNWM60a5UC7VpMJqPm2r3X4o1pOLqCFotbjtRjY/edit?usp=sharing Запросите документы, которые не приняли и со всей инфой передайте Максу
WABA (ВАБА)	Как узнать, какой номер добавлен в аккаунте фэйсбука	Клиенту нужно перейти по ссылку: https://business.facebook.com/settings/whatsapp-business-accounts Далее в аккаунте выбрать Аккаунты WhatsApp - Настройки - WhatsApp Manager https://monosnap.com/file/oOqb2A1hZohD2bNR5wVX4O6CRNC19L
WABA (ВАБА)	Номер на рассмотрении долгое время(в лк - подождите минутку)	Уточните номер телефона, который на рассмотрении, после создавай подзадачу на Макса, чтобы он посмотрел
WABA (ВАБА)	Сменить отображаемое имя (display name)	Если нужно сменить отображаемое в профиле номера имя, то клиент может сделать самостоятельно: https://business.facebook.com/settings/whatsapp-business-accounts https://skr.sh/sC6L07GxYQy?a https://skr.sh/sC6dIIL5jsc?a
WABA (ВАБА)	У компании нет кнопки "Начать подтверждение"/ компания "Не подходит для подтверждения"	Проверьте в аккаунте клиента, добавлен ли канал waba Сначала необходимо добавить канал у нас в сервисе и после начинать подтверждать компанию. Также проблема может возникать, если информация в этом разделе https://business.facebook.com/settings/info была заполнена не полностью 
WABA (ВАБА)	Сколько шаблонов можно добавить	Можно в одной вабе создавать до 6000 шаблонов, если компания подтверждена. И номеров может быть до 25, на все вабы суммарно (до 2х номеров, если компания не потверждена)
WABA (ВАБА)	Не приходит код при подтверждении номера	Попросите клиента попробовать позже Если есть вариант попробовать другой способ (если смс запрашивал, то звонок запросить), пусть пробуют  Ни провайдер, ни фейсбук с этим помочь не смогут, уже обращались к ним, советуют пробовать еще раз и еще раз заводить по этому поводу подзадачу с просьбой обратиться в фейсбук бессмысленно хреново - но это так  п.с. у некоторых провайдеров телефонии есть возможность подключить получение смс (тогда можно запросить код в смс, оно обычно на почту приходит)
WABA (ВАБА)	Можно ли канал ваба добавить в групповой чат?	Нет, нельзя:( При попытке добавить контакт с вабой в групповой чат, контакт добавится туда, но возле контакта будет восклицательный знак. Если на него нажать - появится инфа: https://monosnap.com/file/bDVweoSvy3mlyb1gOh3z08d1Bv9VM6
WABA (ВАБА)	Рейтинг номера/лимиты на отправку	Об оценке качества: https://www.facebook.com/business/help/896873687365001 О лимитах на отправку сообщений: https://developers.facebook.com/docs/whatsapp/api/rate-limits#quality  Чтобы посмотреть рейтинг номера или лимиты, необходимо перейти по ссылке: https://business.facebook.com/settings/ , выбрать компанию https://monosnap.com/file/uxrmH7GDvHFTh9P2w45zEYz9ErX8ht Аккаунты WhatsApp - выбираем нужный аккаунт - Настройки - WhatsApp Manager https://monosnap.com/file/JOWsDW2FRYC0gBKWa9DXmau4RzaIj2 В Оценке качества отображается показатель качества, а в Messaging Limit суточный лимит на отправку сообщений https://monosnap.com/file/QrQT8BGARJ7oEi9piFpVU7q1THM5Mt
WABA (ВАБА)	Какие форматы файлов можно добавить в заголовок шаблона	в хедер шаблона можно добавить картинку .jpg, .jpeg, .png до 5 мб видео .mp4, .3gpp до 16 мб документы только .pdf до 50 мб
WABA (ВАБА)	Что можно добавить в заголовок шаблона?	Если заголовок текстовый, то можно добавить одну переменную, использовать смайлики Медиа заголовок может быть только одного типа: изображение, видео или документ 
WABA (ВАБА)	Можно ли сменить тип заголовка в одобренном шаблоне?	Сменить тип заголовка в одобренном шаблоне нельзя. Например, если шаблон с типом заголовка «Изображение» прошел модерацию, вы не сможете поменять в нем заголовок на тип «Документ».  когда фичу доделают - будет можно (в фейсбуке уже можно, но из-за отсутствия функционала фичи - мы можем эти изменения не подтянуть) https://wazzup.planfix.ru/task/722470
WABA (ВАБА)	Сколько символов занимает одна переменная в основном тексте?	Одна переменная занимает 6 символов
WABA (ВАБА)	Сколько символов может быть в одной переменной?	В переменную можно залоткать столько символов, чтобы вместе со всеми переменными, длинна body шаблона не превышала 1024 символа Длина заголовка не более 60 символов
WABA (ВАБА)	Как отформатировать текст в шаблоне в основном тексте?	Чтобы отформатировать текст шаблона, заключите его в специальные символы. Полужирное начертание — звездочка (*). Например: «Это очень *важная* информация». Курсив — подчеркивание (_). Например: «Добро пожаловать в _Wazzup_!» Зачеркивание — тильда (~). Например: «Я и не знал, что это называется ~червячок~ тильда» Моноширинный шрифт — три обратных апострофа (```). Например: «```Это предложение набрано моноширинным шрифтом```».  между символами форматирования не должно быть переноса строк, иначе форматирование не сработает и в тексте останется 2 звёздочки на разных строках
WABA (ВАБА)	1 галка у отправленных сообщений	Если у сообщений статус 0, ставь подзадачу на Макса
WABA (ВАБА)	Можно ли зарегистрировать номер 8800	Можно, но прописывать его везде нужно +7800
WABA (ВАБА)	Белый лист about blank	Если при добавлении канала вабы в ЛК сразу открывается «белый лист» и в адресной строке «about: blank» (сайт KeyReply с чекбоксом и кнопкой, даже не загружается) К Максу на л2
WABA (ВАБА)	Не приходят сообщения с крымских номеров	К сожалению, ничего с этим не поделать и ничего не порекомендуешь( Потому что это сам facebook не принимает сообщения от номеров, которые зарегистрированы на код Крыма +7978  Если у них много клиентов из Крыма и это критично - возможно стоит задуматься о переходе на обычный WhatsApp Web обратно Еще можно менеджерам дать указание, что если видят +7978 - пусть идут в телегу с клиентом общаться сразу
WABA (ВАБА)	Лимиты (Tier) отправки сообщений WABA	При подключении канала и верификации компании и display name, он получает лимит в 1000 сессий в день. Этот лимит повышается постепенно. А выше 1000 можно поднять отправив n количество сообщений уникальным клиентам за неделю, где n - это половина от текущего лимита. При достижении этого числа диалогов, ровно через сутки лимит повысится  Подробнее прочитать об этом можно здесь https://developers.facebook.com/docs/whatsapp/api/rate-limits  Проверить свой Tier можно в WhatsApp Manager (скрин https://drive.google.com/file/d/14LzrpxjKsHpm-zo0FwbNhUcs2Nzu_A4n/view → слева нажмите на чемодан → phone numbers (скрин https://drive.google.com/file/d/15choV09CuBf4MnA5HHz2FXKp9CSaD4yP/view?usp=sharing)  Если плашка с уровнем канала в нашем ЛК не соответствует реальному тиру ставь подзадачу на л2 на Макса
WABA (ВАБА)	Где посмотреть сколько бесплатных сессий	Проверить это можно в WhatsApp Manager. Перейдите по ссылке https://business.facebook.com/settings/whatsapp-business-accounts → вкладка "Настройки" → WhatsApp Manager https://monosnap.com/file/rYgKzFkf3QPpiZAvcGYb0ePEVUmnob Иногда информация отображается с задержкой
WABA (ВАБА)	При выборе канала в ваба для модерации шаблона Данные отсутствуют	Если нет возможности выбрать нужную вабу/канал, при отправке шаблона на модерацию из нашего ЛК, веди на л3 Как выглядит Отсутствуют данные https://monosnap.com/file/7RkEejOeItkS2S38CvvpTXtGlr0hSw
WABA (ВАБА)	Ошибки при отправке шаблона на модерацию	Если появляются различного рода ошибки при отправке шаблона на модерацию в нашем ЛК вот тут более подробно писали об этом https://t.me/c/1241802314/501 Передавай на л3
WABA (ВАБА)	Ошибка при отправке шаблона	Если при рассылке одного и того же шаблона в рандомном порядке возникают ошибки вперемешку с успешными отправками (т.е. из N отправленных шаблонов, успешно были отправлены X шаблонов) веди на л3
WABA (ВАБА)	Клиент просит прислать пример шаблона с кнопками	1. Шаблон с ссылкой и телефоном.  Ссылка в ЛК.Код шаблона, чтобы отправлять из ПФ: @template: 046cd9e9-0845-49b9-b33b-b7934c94aa4b {  }  2. Шаблон с статичными кнопками.  Ссылка в ЛК.Код шаблона, чтобы отправлять из ПФ: @template: f1673e5a-0dbf-4149-9741-6eb64396cf62 {  }  Как выглядит на телефоне: https://monosnap.com/file/355cOeN27kUCKEeGMrFsFemHVIai2I
WABA (ВАБА)	Отличия от конкурентов	Общие преимущества Wazzup перед конкурентами: — Мы сделали подключение к WABA полностью через нас. Для регистрации канала вам нужна будет страница в Facebook и Личный кабинет Wazzup. Регистрировать личные кабинеты в каких-то сторонних сервисах не нужно. — Вся работа с WABA-каналом, шаблонами и редактированием профиля реализована в Личном кабинете Wazzup. После регистрации WABA-канала вам не нужно заходить в Facebook совсем, всё делается у нас в ЛК. — Удобный интерфейс добавления и отправки шаблонов через чаты Wazzup. — Интерфейс чатов Wazzup прямо в CRM, где можно использовать эмоджи, возможность по одному клику перейти в сделку/лид или создать его. Полное подобие интерфейса WhatsApp Web. — Счётчик неотвеченных сообщений в чатах. Ваши менеджеры не пропустят ни одно из сообщений. — Стабильная интеграция. Все конкуренты зависимы от нативных чатов AmoCrm или же на Открытых линиях Битрикс. Если у CRM системы произойдет сбой или просто будет обновление, вы сможете перейти в дополнительное окно нашего  приложения в CRM и продолжить общение. — Собственное мобильное приложение. Номер WABA в приложении WhatsApp использовать не получится, но используя наш сервис, менеджеры смогут общаться с канала WABA со смартфона где бы не находились.
WABA (ВАБА)	Неизвестная ошибка при отправке шаблона	Когда у клиента на WABA неизвестная ошибка при отправке шаблона, запрашивайте номер клиента, на который слали шаблон и главное, название шаблона, который отправляли. Уточняйте у клиента: ошибка возникает только с этим шаблоном или с любым шаблоном/сообщением? Если есть подозрения на бан WABA аккаунта, запрашивайте скриншот из WhatsApp менеджера, с причиной блокировки https://business.facebook.com/wa/manage/home  Если возникает неизвестная ошибка при отправке сообщения или шаблона ставь подзадачу на Макса, он проверит, если проблема по его части - поправит, если проблема глубже, чем он может посмотреть, скажет, надо ли вести клиента на л3, или что-то сделать в своем фейсбук менеджере)
WABA (ВАБА)	Клиент получил бан	Если клиент всё таки словил бан, запрашивайте скриншот отсюда https://business.facebook.com/wa/manage/home ,  спрашивайте, чем занимается клиент, его вебсайт, делал ли холодные рассылки, какой процент ответа на рассылки он получает и где клиент клиента мог отмечать его сообщения как спам, а самое главное, есть ли пруфы, что клиент давал согласие на получение информационных рассылок.(есть ли форма согласия на получение рассылок на сайте)  Пришла информация от KeyRelpy, что основной причиной банов на WABA является маркер "Это спам" от клиентов. В этом случае подавать апелляции без этих пруфов может быть крайне не эффективно.
WABA (ВАБА)	Канал удалился сам спустя 72 часа	Теперь если клиент добавил канал не правильно, и этот канал ни разу не был активен, такие каналы удаляем через 72 часа "лежания". Если придет клиент с вопросом "где мой канал?" - отвечать в рифму не нужно, но можно сказать, что канал был добавлен неправильно, пролежал и был удален.
WABA (ВАБА)	Не одобряют номер	Если у клиента не получается подтвердить номер в фейсбуке, нужно чтобы использовали выписку из банка+квитанцию об оплате номера подобного типа https://drive.google.com/drive/folders/1fEE9t9N8eZkHFKT6ev0GrC7m2jM0javc?usp=sharing  (можно кидать ссылку клиентам) важно: Российские и Казахстанские номера в этих документах должны быть прописаны не через +7 а через 8  Здесь можно скопировать файл и создать документы под свою компанию https://docs.google.com/spreadsheets/d/1GusTWNWM60a5UC7VpMJqPm2r3X4o1pOLqCFotbjtRjY/edit#gid=338476475
WABA (ВАБА)	Клиент изменил display name номера, его одобрили, но он не поменялся в ватсапе и не изменились лимиты	Веди к Максу на л2
WABA (ВАБА)	Отклоняют шаблон	Если шаблон отправляли на модерацию 4 и более раз, и его каждый раз отклоняют веди к Максу на л2 Если шаблон отозвали или его отправляли на модерацию менее 4х раз, Макс нового не скажет, причина отклонения/отзыва шаблона и рекомендации для его изменения теперь показы в ЛК в редакторе отклоненного шаблона)
WABA (ВАБА)	Шаблон долго на модерации	мы не синкаем шаблоны WABA и их статусы, если все каналы из этой вабы в нашем ЛК не активны(не в подписке или подписка истекла) если были шаблоны в статусе "На модерации" - они в таком статусе и останутся, пока не оплатят хотя бы один номер из вабы, в которой лежит шаблон
WABA (ВАБА)	Согласовать универсальный шаблон	По согласованию нового универсального шаблона к Максу на л2
